Brand,Channel,MerchantId,MerchantName,MerchantUrl,Priority,Synonym,Staging (Mostly),Setup
Klaz,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,ace klaz,"Audio, Computer, Electronics, Smartphone",2025-01-01
Hurom,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,hurom,"Audio, Computer, Electronics, Smartphone",2025-01-01
Krisbow,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,ace krisbow,"Audio, Computer, Electronics, Smartphone",2025-01-01
Otto,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,otto,"Audio, Computer, Electronics, Smartphone",2025-01-01
Memoo,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,ace - memoo,"Audio, Computer, Electronics, Smartphone",2025-01-01
Ataru,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,ataru,"Audio, Computer, Electronics, Smartphone",2025-01-01
Memoo,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,memoo,"Audio, Computer, Electronics, Smartphone",2025-01-01
Jml,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,jml,"Audio, Computer, Electronics, Smartphone",2025-01-01
Westinghouse,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,westinghouse,"Audio, Computer, Electronics, Smartphone",2025-01-01
Kris,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,kris,"Audio, Computer, Electronics, Smartphone",2025-01-01
Stora,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,stora,"Audio, Computer, Electronics, Smartphone",2025-01-01
Clair,Tokopedia,8069167,ACE Indonesia,https://www.tokopedia.com/aceindonesiaid,1,clair,"Audio, Computer, Electronics, Smartphone",2025-01-01
