Channel,MerchantId,MerchantName,MerchantLink
"Blibli","ADO-70022","Advance Official Store","https://www.blibli.com/merchant/advance-official-store/ADO-70022"
"Blibli","AEB-70011","AERIS BEAUTE Official Store","https://www.blibli.com/merchant/aeris-beaute-official-store/AEB-70011"
"Blibli","ALF-70298","Alchemist Fragrance","https://www.blibli.com/merchant/alchemist-fragrance/ALF-70298"
"Blibli","ANO-60059","Anessa Official Store","https://www.blibli.com/merchant/anessa-official-store/ANO-60059"
"Blibli","AND-37218","Anker Indonesia Official Store","https://www.blibli.com/merchant/anker-indonesia-official-store/AND-37218"
"Blibli","ARG-70093","Ariston Global Official Store","https://www.blibli.com/merchant/ariston-global-official-store/ARG-70093"
"Blibli","ARI-60043","Ariston Water Heater Official Store","https://www.blibli.com/merchant/ariston-water-heater-official-store/ARI-60043"
"Blibli","ARP-70390","Artisan Pro Official Store","https://www.blibli.com/merchant/artisan-pro-official-store/ARP-70390"
"Blibli","ASO-60035","Asus (Smartphone)","https://www.blibli.com/merchant/asus-smartphone/ASO-60035?pickupPointCode=PP-3100851"
"Blibli","AVS-60030","AVOSKIN BEAUTY JAKARTA   Official Store","https://www.blibli.com/merchant/avoskin-beauty-jakarta-official-store/AVS-60030"
"Blibli","PTA-60103","Babyliss Official Store","https://www.blibli.com/merchant/babyliss-official-store/PTA-60103"
"Blibli","BAO-70284","barenbliss Official Store","https://www.blibli.com/merchant/barenbliss-official-store/BAO-70284"
"Blibli","BEO-70166","Beeme Official Store","https://www.blibli.com/merchant/beeme-official-store/BEO-70166"
"Blibli","BEO-70237","Bervin Official Store","https://www.blibli.com/merchant/bervin-official-store/BEO-70237"
"Blibli","BIS-60143","Bioderma Official Store","https://www.blibli.com/merchant/bioderma-official-store/BIS-60143"
"Blibli","BID-70072","Biotalk.id Official Store","https://www.blibli.com/merchant/biotalk-id-official-store/BID-70072"
"Blibli","KAE-60027","Blackmores Official Store","https://www.blibli.com/merchant/blackmores-official-store/KAE-60027?pickupPointCode=PP-3525247"
"Blibli","APF-70017","Blibli - Apple Authorized Reseller Flagship Store",""
"Blibli","BLP-60045","Blibli.com","https://www.blibli.com/merchant/blibli-official-store-ponsel/BLP-60045"
"Blibli","BLP-60041","Blibli.com","https://www.blibli.com/merchant/samsung-official-store/BLP-60041"
"Blibli","BLA-60054","Blibli.com","https://www.blibli.com/merchant/blibli-official-store-appliances/BLA-60054"
"Blibli","BLH-15012","Blibli.com","https://www.blibli.com/merchant/blibli-com-handphone/BLH-15012"
"Blibli","BLP-70112","BLP Official Store","https://www.blibli.com/merchant/blp-official-store/BLP-70112"
"Blibli","PTM-60075","BOLDe","https://www.blibli.com/merchant/bolde/PTM-60075"
"Blibli","BRO-70056","Brasov Official Store","https://www.blibli.com/merchant/brasov-official-store/BRO-70056"
"Blibli","BRB-70001","BREYLEE INDONESIA Official Store","https://www.blibli.com/merchant/breylee-indonesia-official-store/BRB-70001"
"Blibli","BRP-70118","Bromen.id Official Store","https://www.blibli.com/merchant/bromen-id-official-store/BRP-70118"
"Blibli","CAO-70106","CAVE Official Shop","https://www.blibli.com/merchant/cave-official-shop/CAO-70106"
"Blibli","CHO-70132","CHIEF STORE Official Store","https://www.blibli.com/merchant/chief-store-official-store/CHO-70132"
"Blibli","COD-12092","Corine de Farme Official Store","https://www.blibli.com/merchant/corine-de-farme-official-store/COD-12092"
"Blibli","COE-60028","COSMOS Official Store","https://www.blibli.com/merchant/cosmos-official-store/COE-60028"
"Blibli","CVS-70137","CV SAMI JAYA FBB Official Store","https://www.blibli.com/merchant/cv-sami-jaya-fbb-official-store/CVS-70137"
"Blibli","CVS-60072","CV. SAMI JAYA Official Store","https://www.blibli.com/merchant/cv-sami-jaya-official-store/CVS-60072"
"Blibli","DAG-70041","Daeng Gi Meo Ri Official Store","https://www.blibli.com/merchant/daeng-gi-meo-ri-official-store/DAG-70041"
"Blibli","DAA-70193","Daikin AC & Air Quality Official Store","https://www.blibli.com/merchant/daikin-ac-air-quality-official-store/DAA-70193"
"Blibli","DAO-60068","Dancoly Official Store","https://www.blibli.com/merchant/dancoly-official-store/DAO-60068"
"Blibli","DAM-70187","DAZZLE ME Official Store","https://www.blibli.com/merchant/dazzle-me-official-store/DAM-70187"
"Blibli","DEM-70108","Dear Me Beauty Official Store","https://www.blibli.com/merchant/dear-me-beauty-official-store/DEM-70108"
"Blibli","DEE-60073","Departemen Elektronik Official Store","https://www.blibli.com/merchant/departemen-elektronik-official-store/DEE-60073"
"Blibli","KOO-60046","Dorahomi Official Store","https://www.blibli.com/merchant/dorahomi-official-store/KOO-60046"
"Blibli","ECI-60022","Ecohome Indonesia Official Store","https://www.blibli.com/merchant/ecohome-indonesia-official-store/ECI-60022"
"Blibli","EIG-70003","Eileen Grace Official Store","https://www.blibli.com/merchant/eileen-grace-official-store/EIG-70003"
"Blibli","ELB-70095","Electrolux by Blibli Flagship Store","https://www.blibli.com/merchant/electrolux-by-blibli-flagship-store/ELB-70095"
"Blibli","ELS-70311","Ella Skincare Official Store","https://www.blibli.com/merchant/ella-skincare-official-store/ELS-70311"
"Blibli","ERS-60058","ERHA Skincare Official Store","https://www.blibli.com/merchant/erha-skincare-official-store/ERS-60058"
"Blibli","GAO-70084","Gaabor Official Store","https://www.blibli.com/merchant/gaabor-official-store/GAO-70084"
"Blibli","GLI-60022","GLAMPALM INDONESIA Official Store","https://www.blibli.com/merchant/glampalm-indonesia-official-store/GLI-60022"
"Blibli","GOH-60033","Goto Living","https://www.blibli.com/merchant/goto-living-official-store/GOH-60033"
"Blibli","GRG-70091","Grace and Glow Official Store","https://www.blibli.com/merchant/grace-and-glow-official-store/GRG-70091"
"Blibli","DEG-70070","gree jakarta official store","https://www.blibli.com/merchant/gree-jakarta-official-store/DEG-70070"
"Blibli","PTG-24934","Gree Official Store","https://www.blibli.com/merchant/gree-official-store/PTG-24934"
"Blibli","HIO-70064","HITACHI Official Store",""
"Blibli","HMO-70007","HMNS Official Store","https://www.blibli.com/merchant/hmns-official-store/HMO-70007?pickupPointCode=PP-3530239&fbbActivated=true"
"Blibli","HOH-60024","Holika Holika Indonesia","https://www.blibli.com/merchant/holika-holika-indonesia-official-store/HOH-60024"
"Blibli","IMO-70030","Implora Official Store","https://www.blibli.com/merchant/implora-official-store/IMO-70030"
"Blibli","INC-28157","Indoganic Official Store","https://www.blibli.com/merchant/indoganic-official-store/INC-28157"
"Blibli","INC-70176","inez cosmetics Official Store","https://www.blibli.com/merchant/inez-cosmetics-official-store/INC-70176"
"Blibli","INO-60069","Infinix Authorized Official Store","https://www.blibli.com/merchant/infinix-authorized-official-store/INO-60069?_branch_match_id=1242258736294847751&utm_source=Web&utm_campaign=Merchant%20Share&utm_medium=Share&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXT8rJBCK9xIICvZzMvGz95AxnD9cUM39HlyQAYzQ%2FsyMAAAA%3D&pickupPointCode=PP-3083606"
"Blibli","INO-70018","INGLOT  Official Store","https://www.blibli.com/merchant/inglot-official-store/INO-70018"
"Blibli","ITO-70015","Itel Store","https://www.blibli.com/merchant/itel-store/ITO-70015?_branch_match_id=1242258736294847751&utm_source=Web&utm_campaign=Merchant+Share&utm_medium=Share&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXT8rJBCK9xIICvZzMvGz94rwkl1BPxzRnlyQAY4FSmyMAAAA=&pickupPointCode=PP-3466949"
"Blibli","JAT-60025","Jaco Tv Shopping Official Store","https://www.blibli.com/merchant/jaco-tv-shopping-official-store/JAT-60025"
"Blibli","JJO-60022","Johnson & Johnson Official Store","https://www.blibli.com/merchant/johnson-johnson-official-store/JJO-60022"
"Blibli","JOB-60035","Joylab Beauty Official Store","https://www.blibli.com/merchant/joylab-beauty-official-store/JOB-60035"
"Blibli","KAK-25212","KAO Personal Care Official Store","https://www.blibli.com/merchant/kao-personal-care-official-store/KAK-25212"
"Blibli","KEO-70137","Kelaya Store Official Store","https://www.blibli.com/merchant/kelaya-store-official-store/KEO-70137"
"Blibli","KII-60038","Kirin Indonesia Official Store","https://www.blibli.com/merchant/kirin-indonesia-official-store/KII-60038"
"Blibli","KIT-10831","KitchenAid Official Store","https://www.blibli.com/merchant/kitchenaid-official-store/KIT-10831"
"Blibli","KOS-60058","korindo Official Store","https://www.blibli.com/merchant/korindo-official-store/KOS-60058"
"Blibli","KOE-60035","KOSE  Official Store","https://www.blibli.com/merchant/kose-official-store/KOE-60035"
"Blibli","KUI-60037","Kurumi Indonesia Official Store","https://www.blibli.com/merchant/kurumi-indonesia-official-store/KUI-60037"
"Blibli","LOO-60047","L’occitane Official Store","https://www.blibli.com/merchant/l-occitane-official-store/LOO-60047"
"Blibli","LOO-60031","L'Oreal  Official Store","https://www.blibli.com/merchant/l-oreal-official-store/LOO-60031"
"Blibli","LAI-60062","La'dor Indonesia Official Store","https://www.blibli.com/merchant/la-dor-indonesia-official-store/LAI-60062"
"Blibli","LAI-70118","LAIFEN INDONESIA Official Store","https://www.blibli.com/merchant/laifen-indonesia-official-store/LAI-70118"
"Blibli","LAS-70410","lavojoy Official Store","https://www.blibli.com/merchant/lavojoy-official-store/LAS-70410"
"Blibli","LIE-70185","Lilith & Eve Official Store","https://www.blibli.com/merchant/lilith-eve-official-store/LIE-70185"
"Blibli","LUS-70168","Lumecolors Official Store","https://www.blibli.com/merchant/lumecolors-official-store/LUS-70168"
"Blibli","MAF-60063","Mad for Makeup","https://www.blibli.com/merchant/mad-for-makeup/MAF-60063"
"Blibli","BLM-60040","Mandom","https://www.blibli.com/merchant/mandom-official-store/BLM-60040"
"Blibli","MAN-60077","Mane 'n Tail Official Store","https://www.blibli.com/merchant/mane-n-tail-official-store/MAN-60077"
"Blibli","MAW-60053","Marshwillow Official Store","https://www.blibli.com/merchant/marshwillow-official-store/MAW-60053"
"Blibli","MAT-60050","Martha Tilaar Official Store","https://www.blibli.com/merchant/martha-tilaar-official-store/MAT-60050"
"Blibli","MAI-70309","Masil Indonesia Official Store","https://www.blibli.com/merchant/masil-indonesia-official-store/MAI-70309"
"Blibli","MAO-70036","Maspion","https://www.blibli.com/merchant/maspion/MAO-70036"
"Blibli","MEE-57629","Metron Elektronika","https://www.blibli.com/merchant/metron-elektronika/MEE-57629"
